Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:07:20.245,114272.8,0.009,BTCUSDT
2025-09-30 00:07:20.311,114272.9,0.101,BTCUSDT
2025-09-30 00:07:20.311,114272.9,0.012,BTCUSDT
2025-09-30 00:07:20.311,114272.9,0.002,BTCUSDT
2025-09-30 00:07:20.474,114272.8,0.043,BTCUSDT
2025-09-30 00:07:20.514,114272.9,0.002,BTCUSDT
2025-09-30 00:07:20.899,114272.9,0.019,BTCUSDT
2025-09-30 00:07:20.933,114272.9,0.018,BTCUSDT
2025-09-30 00:07:21.275,114272.9,0.014,BTCUSDT
2025-09-30 00:07:21.564,114272.8,0.043,BTCUSDT
2025-09-30 00:07:21.602,114272.9,0.005,BTCUSDT
2025-09-30 00:07:21.732,114272.8,0.001,BTCUSDT
